order_line_id,prescription_code
OL_59986efb6edbf26b,642506260
OL_c1a56509d3e5b748,628901630
OL_2cbba6fd2877a643,653602710
OL_a13e9085c1c41a54,641602040
OL_db4e1b71a500804b,AAA
OL_80651cadd3097d4c,AA254090
OL_9b0ba014047a1265,AA254
OL_be018d5b6631da9f,AL801
OL_03832f4d85cff214,KK010
OL_a91dd2d0df4e8d22,670603190
OL_2b18ac0881ac44c4,671805622
OL_2d13b4f89945fe89,649103410
OL_59645b4eb1738204,671807340
OL_6ff06961195ff399,641900460
OL_ee72c8f34daf550c,642105020
OL_9a61d74ae21c9196,640903941
OL_3612040ed8eab3a1,AA254080
OL_30e5d570468776a3,642201340
OL_046a19dd677572b8,698003030
OL_ac75a8f0740c6169,643308800
OL_a277219c5888641e,657203130
OL_ae146d81feb129f6,2CHOK12
OL_a4078ae4566a13e3,AA254080
OL_ade18b5d6a877d4f,074200080
OL_a8b5af0e1ddc88d1,661905080
OL_5081b451ef4e9944,661905080
OL_985730c9ef1978e4,661904160
OL_ec6718ff83355eee,622804550
OL_1b2348d6a066f308,628901550
OL_5a9139b5a38d92dc,653801510
OL_c8d233b54b7a2d64,661900170
OL_8946b5a9cbf2850d,669604860
OL_1fbfd7bfdbadc06c,693901790
OL_7d785f7e38dea841,628900440
OL_02b7654cf779c722,657201020
OL_6488b2991f564efc,653700240
OL_d2a6cef6764a47f1,657203130
OL_f26093c61175ae56,664600690
OL_cc663755da76df61,693902080
OL_c37df300dab08666,651900890
OL_b34b252c91e318d3,651900890
OL_cddb4d5b9632c66e,2CHOK20
OL_ed456923602facb2,2CHOK20
OL_ac11aa51d00bc5e5,AA254080
OL_e026ad7da672f7dc,652100200
OL_c064f7ac35fc2fd4,658204000
OL_1b4e1d96d6a44b62,670600480
OL_5d21c676a2aaaf49,647304330
OL_09b967ae13f91659,670300920
OL_fef8a2927aef2651,642102282
OL_67b7253c050ba1db,620500120
OL_6fe0a0a02a94ce95,640000090
OL_73832b142e279923,643507760
OL_2c321d47b51df8d3,669800160
OL_86ef584346a83e3a,664600700
OL_90b0dea0374be7b7,2CHOK8
OL_ae3e973e6ce9e219,658203800
OL_434dfa995a43ac41,660702930
OL_655e643ee350a01a,652105770
OL_5d19a73bdd8492c9,628900930
OL_ce19935a3c69ea74,667400853
OL_b9a86e16417f7beb,653700240
OL_8677761ed3ed02e8,073400360
OL_6c37a066745429b1,643702370
OL_39c439862560e2c1,643702370
OL_d3141c429d56d229,628901550
OL_86cfab17a3d4b1f3,642202450
OL_d3ff32649572940e,647303430
OL_c84661e1d80d509a,667400853
OL_691f9c57bc756b0e,628900390
OL_c130e56b92672596,628900710
OL_69f820a064ffaa7c,647303430
OL_17d1f4cb23e90395,667400853
OL_2f630e03423dd1b7,661905080
OL_57cad82b7f2cb2fe,661904160
OL_4254f6123e791358,649501420
OL_c9c795743ca3ee4e,670600480
OL_e1dd727b15f32b7d,628900900
OL_2cf6471b60437fec,651900370
OL_36a78c5a057ee926,2CHOK12
OL_b906fa4b7e2ffac7,2CHOK8
OL_fd9bcb9ecfc461ec,AA254080
OL_284f7834aa93d4db,661905080
OL_fa4bf5797b76e94b,698003790
OL_9141b4c38b5fb95f,690300221
OL_6c868c16138101d9,693900030
OL_0204b243e0ac3a3f,693903220
OL_a50303e3cb9ac0c3,643308800
OL_324954bb00480205,693900170
OL_6ab4dd9101df443b,628900880
OL_db16ebc86a9957a7,671805622
OL_abd7667a6301649a,653700240
OL_5049c84066a4575c,628901550
OL_8d673f786d906127,667400853
OL_39a52129c1d727e6,642204180
OL_d1fb0ea27e2a1c51,651900890
OL_8686c5321dd19349,651900890
OL_094a0d41d9a8d67c,AA254080
OL_50cbee83259bdee9,054800320
OL_9cd05a23ddf9bce7,642201340
OL_24f67117766569de,642902650
OL_14e9991e912432a9,670600480
OL_0be447a3231baf85,670606111
OL_eef20891ac433d51,693900170
OL_f718cf528f7dd1da,662503250
OL_f47495e0713e5141,628900110
OL_54215d7814cd448c,655605380
